germplasm_id,female_parent,male_parent
WGN63P02,WG110101,WG112027
WGN26P02,WG110734,WG110433
WGN59P20,WG110817,WG110734
WGN39P01,WG112021,WG112027
WGN07P02,WG112909,WG110916
WGN46P01,WG112909,WG115516
WGN55P02,WG115418,WG116201
WGN15P01,WG115608,WG110837
WGN45P02,WG116417,WG116201
WGN36P02,WG117928,WG112926
WGN38P01,WG117928,WG112926
WG110101,C3_2925,UMN_C1_Unknown
WG110734,C3_3471,UMN_C1_Unknown
WG110817,C3_3471,UMN_C1_Unknown
WG112021,W111_4,UMN_C1_Unknown
WG112909,W113_4,UMN_C1_Unknown
WG112909,W113_4,UMN_C1_Unknown
WG115418,C3_2187,UMN_C1_Unknown
WG115608,C3_3568,UMN_C1_Unknown
WG116417,C3_3244,UMN_C1_Unknown
WG117928,C3_3471,UMN_C1_Unknown
WG117928,C3_3471,UMN_C1_Unknown
WG112027,W111_4,UMN_C1_Unknown
WG110433,C3_2331,UMN_C1_Unknown
WG110734,C3_3471,UMN_C1_Unknown
WG112027,W111_4,UMN_C1_Unknown
WG110916,C3_2725,UMN_C1_Unknown
WG115516,C3_3051,UMN_C1_Unknown
WG116201,C3_2629,UMN_C1_Unknown
WG110837,C3_3471,UMN_C1_Unknown
WG116201,C3_2629,UMN_C1_Unknown
WG112926,W113_4,UMN_C1_Unknown
WG112926,W113_4,UMN_C1_Unknown
UMN_C1_Unknown,0,0