germplasm_id,female_parent,male_parent,founder
BFC2,0,0,WGN38P01
BFC1,0,0,WGN38P01
C1select50,0,0,WGN38P01
C1supselect5,0,0,WGN38P01
C2Naked4,0,0,WGN38P01
FC_Large_Intermate,0,0,WGN38P01
C1_120,BFC1,BFC1,WGN38P01
C1_174,BFC2,BFC2,WGN38P01
C2_3905,C1_174,C1select50,WGN38P01
C2_673,C1_120,C1supselect5,WGN38P01
C3_3471,C2_3905,C2Naked4,WGN38P01
W113_4,C2_673,FC_Large_Intermate,WGN38P01
WGN38P01,WG117928,WG112926,WGN38P01
WG117928,C3_3471,UMN_C1_Unknown,WGN38P01
WG112926,W113_4,UMN_C1_Unknown,WGN38P01
UMN_C1_Unknown,0,0,WGN38P01
BFC2,0,0,WGN38P01
BFC1,0,0,WGN38P01
C1select50,0,0,WGN38P01
C1supselect5,0,0,WGN38P01
C2Naked4,0,0,WGN38P01
FC_Large_Intermate,0,0,WGN38P01
C1_120,BFC1,BFC1,WGN38P01
C1_174,BFC2,BFC2,WGN38P01
C2_3905,C1_174,C1select50,WGN38P01
C2_673,C1_120,C1supselect5,WGN38P01
C3_3471,C2_3905,C2Naked4,WGN38P01
W113_4,C2_673,FC_Large_Intermate,WGN38P01
WGN38P01,WG117928,WG112926,WGN38P01
WG117928,C3_3471,UMN_C1_Unknown,WGN38P01
WG112926,W113_4,UMN_C1_Unknown,WGN38P01
UMN_C1_Unknown,0,0,WGN38P01
BFC2,0,0,WGN63
BFC1_naked,0,0,WGN63
C1select50,0,0,WGN63
C1supselect5,0,0,WGN63
C2Index50,0,0,WGN63
FC_Large_Intermate,0,0,WGN63
C1_197,BFC2,BFC2,WGN63
C1_303,BFC1_naked,BFC1_naked,WGN63
C2_2354,C1_197,C1supselect5,WGN63
C2_853,C1_303,C1select50,WGN63
C3_2925,C2_853,C2Index50,WGN63
W111_4,C2_2354,FC_Large_Intermate,WGN63
WGN63,WG110101,WG112027,WGN63
WG110101,C3_2925,UMN_C1_Unknown,WGN63
WG112027,W111_4,UMN_C1_Unknown,WGN63
UMN_C1_Unknown,0,0,WGN63
BFC2,0,0,WGN26
BFC1_naked,0,0,WGN26
C1select50,0,0,WGN26
C2Index50,0,0,WGN26
C2Naked4,0,0,WGN26
C1_174,BFC2,BFC2,WGN26
C1_303,BFC1_naked,BFC1_naked,WGN26
C2_3905,C1_174,C1select50,WGN26
C2_853,C1_303,C1select50,WGN26
C3_2331,C2_853,C2Index50,WGN26
C3_3471,C2_3905,C2Naked4,WGN26
WGN26,WG110734,WG110433,WGN26
WG110734,C3_3471,UMN_C1_Unknown,WGN26
WG110433,C3_2331,UMN_C1_Unknown,WGN26
UMN_C1_Unknown,0,0,WGN26
BFC2,0,0,WGN59
C1select50,0,0,WGN59
C2Naked4,0,0,WGN59
C1_174,BFC2,BFC2,WGN59
C2_3905,C1_174,C1select50,WGN59
C3_3471,C2_3905,C2Naked4,WGN59
WGN59,WG110817,WG110734,WGN59
WG110734,C3_3471,UMN_C1_Unknown,WGN59
WG110817,C3_3471,UMN_C1_Unknown,WGN59
UMN_C1_Unknown,0,0,WGN59
BFC2,0,0,WGN39
C1supselect5,0,0,WGN39
FC_Large_Intermate,0,0,WGN39
C1_197,BFC2,BFC2,WGN39
C2_2354,C1_197,C1supselect5,WGN39
W111_4,C2_2354,FC_Large_Intermate,WGN39
WGN39,WG112021,WG112027,WGN39
WG112021,W111_4,UMN_C1_Unknown,WGN39
WG112027,W111_4,UMN_C1_Unknown,WGN39
UMN_C1_Unknown,0,0,WGN39
BFC1,0,0,WGN07
C1supselect5,0,0,WGN07
C2Index50,0,0,WGN07
FC_Large_Intermate,0,0,WGN07
C1_120,BFC1,BFC1,WGN07
C2_359,C1_120,C1supselect5,WGN07
C2_673,C1_120,C1supselect5,WGN07
C3_2725,C2_359,C2Index50,WGN07
W113_4,C2_673,FC_Large_Intermate,WGN07
WGN07,WG112909,WG110916,WGN07
WG112909,W113_4,UMN_C1_Unknown,WGN07
WG110916,C3_2725,UMN_C1_Unknown,WGN07
UMN_C1_Unknown,0,0,WGN07
BFC2,0,0,WGN46
BFC1,0,0,WGN46
C1select50,0,0,WGN46
C1supselect5,0,0,WGN46
C2Index50,0,0,WGN46
FC_Large_Intermate,0,0,WGN46
C1_120,BFC1,BFC1,WGN46
C1_197,BFC2,BFC2,WGN46
C2_3182,C1_197,C1select50,WGN46
C2_673,C1_120,C1supselect5,WGN46
C3_3051,C2_3182,C2Index50,WGN46
W113_4,C2_673,FC_Large_Intermate,WGN46
WGN46,WG112909,WG115516,WGN46
WG112909,W113_4,UMN_C1_Unknown,WGN46
WG115516,C3_3051,UMN_C1_Unknown,WGN46
UMN_C1_Unknown,0,0,WGN46
BFC2,0,0,WGN55
C1select50,0,0,WGN55
C1supselect5,0,0,WGN55
C2Index50,0,0,WGN55
C2Naked4,0,0,WGN55
C1_197,BFC2,BFC2,WGN55
C1_231,BFC2,BFC2,WGN55
C2_3182,C1_197,C1select50,WGN55
C2_4226,C1_231,C1supselect5,WGN55
C3_2187,C2_3182,C2Naked4,WGN55
C3_2629,C2_4226,C2Index50,WGN55
WGN55,WG115418,WG116201,WGN55
WG115418,C3_2187,UMN_C1_Unknown,WGN55
WG116201,C3_2629,UMN_C1_Unknown,WGN55
UMN_C1_Unknown,0,0,WGN55
BFC2,0,0,WGN15
BFC1,0,0,WGN15
C1select50,0,0,WGN15
C1supselect5,0,0,WGN15
C2Index50,0,0,WGN15
C2Naked4,0,0,WGN15
C1_120,BFC1,BFC1,WGN15
C1_174,BFC2,BFC2,WGN15
C2_359,C1_120,C1supselect5,WGN15
C2_3905,C1_174,C1select50,WGN15
C3_3471,C2_3905,C2Naked4,WGN15
C3_3568,C2_359,C2Index50,WGN15
WGN15,WG115608,WG110837,WGN15
WG115608,C3_3568,UMN_C1_Unknown,WGN15
WG110837,C3_3471,UMN_C1_Unknown,WGN15
UMN_C1_Unknown,0,0,WGN15
BFC2,0,0,WGN45
C1supselect5,0,0,WGN45
C2Index50,0,0,WGN45
C1_231,BFC2,BFC2,WGN45
C1_269,BFC2,BFC2,WGN45
C2_1723,C1_269,C1supselect5,WGN45
C2_4226,C1_231,C1supselect5,WGN45
C3_2629,C2_4226,C2Index50,WGN45
C3_3244,C2_1723,C2Index50,WGN45
WGN45,WG116417,WG116201,WGN45
WG116417,C3_3244,UMN_C1_Unknown,WGN45
WG116201,C3_2629,UMN_C1_Unknown,WGN45
UMN_C1_Unknown,0,0,WGN45
BFC2,0,0,WGN36
BFC1,0,0,WGN36
C1select50,0,0,WGN36
C1supselect5,0,0,WGN36
C2Naked4,0,0,WGN36
FC_Large_Intermate,0,0,WGN36
C1_120,BFC1,BFC1,WGN36
C1_174,BFC2,BFC2,WGN36
C2_3905,C1_174,C1select50,WGN36
C2_673,C1_120,C1supselect5,WGN36
C3_3471,C2_3905,C2Naked4,WGN36
W113_4,C2_673,FC_Large_Intermate,WGN36
WGN36,WG117928,WG112926,WGN36
WG117928,C3_3471,UMN_C1_Unknown,WGN36
WG112926,W113_4,UMN_C1_Unknown,WGN36
UMN_C1_Unknown,0,0,WGN36
BFC2,0,0,WGN38
BFC1,0,0,WGN38
C1select50,0,0,WGN38
C1supselect5,0,0,WGN38
C2Naked4,0,0,WGN38
FC_Large_Intermate,0,0,WGN38
C1_120,BFC1,BFC1,WGN38
C1_174,BFC2,BFC2,WGN38
C2_3905,C1_174,C1select50,WGN38
C2_673,C1_120,C1supselect5,WGN38
C3_3471,C2_3905,C2Naked4,WGN38
W113_4,C2_673,FC_Large_Intermate,WGN38
WGN38,WG117928,WG112926,WGN38
WG117928,C3_3471,UMN_C1_Unknown,WGN38
WG112926,W113_4,UMN_C1_Unknown,WGN38
UMN_C1_Unknown,0,0,WGN38
